question_id,evaluation_group,question,gold_sql,baseline_generated_sql,repaired_generated_sql,before_EX,before_Inv,before_asa_strict,before_asa_lower_bound,before_fcr_hard_finding_codes,after_EX,after_Inv,after_asa_strict,after_asa_lower_bound,after_fcr_hard_finding_codes,verifier_caught,verifier_actionable,verifier_answers_question,verifier_mismatch_type,verifier_mismatch_detail,verifier_repair_hint,verifier_confidence,verifier_failed_evidence,repair_attempted,repair_generated,repair_status,repair_mode,repair_error,repair_edit_summary,repair_confidence,final_sql_repaired,missed_by_verifier,caught_but_not_actionable,actionable_but_not_attempted,attempted_but_no_sql,generated_but_inv_not_fixed,inv_fixed,fixed_but_ex_broken,fixed_and_ex_preserved,harmful_gate_accept,over_repair_candidate,primary_bottleneck
booksql_072711,B_wrong_executable,When was the last time we sold Sofas/sofa-sleepers,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""Sofas/sofa-sleepers"" order by transaction_date desc limit 1 ","SELECT MAX(transaction_date) AS last_sale_date
FROM master_txn_table
WHERE Product_Service = 'Sofas/sofa-sleepers' AND Credit > 0;",SELECT MAX(Transaction_DATE) AS last_sale_date FROM master_txn_table WHERE Product_Service = 'Sofas/sofa-sleepers' AND Credit > 0;,0,,0,0,[],0,,0,0,[],True,True,False,computation_logic_error,The profile topology has 'group_by: none' but the intent requires grouping by period.,Specify the transaction date field to group by in the SQL query.,high,"[""The specific field to determine the 'last time' (e.g., transaction date) is implied but not explicitly named.""]",True,True,success,semantic,,Added 'Transaction_DATE' to the GROUP BY clause to fix the mismatch.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072714,A_correct_executable,What acount had our biggest expense This month to date?,"select account, sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name  where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) group by account order by sum(debit) desc limit 1","SELECT account, SUM(amount) AS total_amount
FROM master_txn_table
WHERE transaction_date BETWEEN date('now', 'start of month') AND date('now')
GROUP BY account
ORDER BY total_amount DESC
LIMIT 1;","SELECT account, SUM(amount) AS total_amount
FROM master_txn_table
WHERE transaction_date BETWEEN date('now', 'start of month') AND date('now')
GROUP BY account
ORDER BY total_amount DESC
LIMIT 1;",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072715,A_correct_executable,When was the last time we sold Mining machinery,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""Mining machinery"" order by transaction_date desc limit 1 ","SELECT MAX(transaction_date) AS last_sale_date
FROM master_txn_table
WHERE Product_Service = 'Mining machinery' AND Credit > 0;",SELECT MAX(transaction_date) AS last_sale_date FROM master_txn_table WHERE Product_Service = 'Mining machinery' AND Credit > 0 GROUP BY Product_Service;,0,,0,0,[],1,1,1,1,[],True,True,False,computation_logic_error,The profile topology has group_by: 'none' but the intent requires grouping by period.,Group by period to match the intent's time requirement.,high,"[""The profile topology has group_by: 'none' but the intent requires grouping by period.""]",True,True,success,semantic,,Added GROUP BY clause to match the intent's time requirement.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072719,A_correct_executable,Number of invoices created for Appearances and speeches in This week?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""Appearances and speeches"") and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date) ","SELECT COUNT(DISTINCT Transaction_ID) 
FROM master_txn_table 
WHERE Product_Service IN ('Appearances', 'Speeches') 
  AND Transaction_DATE BETWEEN date('now', 'weekday 0', '-7 days') AND date('now', 'weekday 0');","SELECT COUNT(DISTINCT Transaction_ID) 
FROM master_txn_table 
WHERE Product_Service IN ('Appearances', 'Speeches') 
  AND Transaction_DATE BETWEEN date('now', 'weekday 0', '-7 days') AND date('now', 'weekday 0');",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072721,A_correct_executable,"As of Last quarter, how many invoices for Shawn Cunningham remained unpaid?","select count(distinct transaction_id) from master_txn_table where customers = ""Shawn Cunningham"" and transaction_type = 'invoice' and open_balance >0 and transaction_date < strftime('%Y-%m-%d', strftime('%Y', 'now', '-1 year') || '-' || substr('00' || (((strftime('%m', 'now') - 1) / 3) * 3 + 4), -2, 2) || '-01') ","SELECT COUNT(DISTINCT transaction_id) 
FROM master_txn_table 
WHERE Customers = 'Shawn Cunningham' 
  AND Transaction_TYPE = 'invoice' 
  AND AR_paid = 'No' 
  AND Transaction_DATE BETWEEN date('now','-3 months') AND date('now','-1 month');","SELECT COUNT(DISTINCT transaction_id) FROM master_txn_table WHERE Customers = 'Shawn Cunningham' AND Transaction_TYPE = 'invoice' AND AR_paid = 'No' AND Transaction_DATE BETWEEN date('now','-3 months') AND date('now','-1 month') AND Transaction_DATE LIKE '%%/%%/20%%'",1,1,1,1,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has a temporal filter, but the intent requires grouping by period.",Consider adjusting the temporal filter in the profile topology to group by period instead of using a date range.,high,"[""The profile topology has a temporal filter, but the intent requires grouping by period.""]",True,True,success,semantic,,Added a LIKE filter to Transaction_DATE to match the quarter of the current date.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072726,A_correct_executable,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"SELECT avg(quantity_per_transaction) FROM (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method  =  ""[payment_method]"" group by transaction_id) ","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'",1,,,0,[],1,,,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072734,B_wrong_executable,What was the first bill Michael Murray received from Anne Hernandez?,"select min(credit) from master_txn_table where customers = ""Michael Murray"" and transaction_type = 'bill' and vendor = ""Anne Hernandez""","SELECT DISTINCT mt.transaction_id, mt.amount
FROM master_txn_table mt
JOIN customers c ON mt.Customers = c.customer_name
JOIN employees e ON mt.businessID = e.businessID
WHERE e.Employee_name = 'Michael Murray' AND c.customer_name = 'Anne Hernandez'
ORDER BY mt.Transaction_DATE ASC
LIMIT 1;","SELECT DISTINCT mt.transaction_id, mt.amount
FROM master_txn_table mt
JOIN customers c ON mt.Customers = c.customer_name
JOIN employees e ON mt.businessID = e.businessID
WHERE e.Employee_name = 'Michael Murray' AND c.customer_name = 'Anne Hernandez'
ORDER BY mt.Transaction_DATE ASC
LIMIT 1;",0,,0,0,[],0,,0,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072737,A_correct_executable,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"SELECT avg(quantity_per_transaction) FROM (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method  =  ""[payment_method]"" group by transaction_id) ","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'",1,,,0,[],1,,,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072742,B_wrong_executable,What was the highest invoice value for Spraying services in This week?,"select max(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""Spraying services"") and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date) ","SELECT MAX(Credit) AS highest_invoice_value
FROM master_txn_table
WHERE Product_Service = 'Spraying services' AND Transaction_DATE BETWEEN date('now', 'weekday 0', '-7 days') AND date('now', 'weekday 0');","SELECT MAX(Credit) AS highest_invoice_value FROM master_txn_table WHERE Product_Service = 'Spraying services' AND Transaction_DATE BETWEEN date('now', 'weekday 0', '-7 days') AND date('now', 'weekday 0') GROUP BY Transaction_DATE;",1,1,1,1,[],0,,0,0,[],True,True,False,computation_logic_error,"The profile topology has a temporal filter, but the intent requires grouping by period.",Consider adding a GROUP BY clause to match the intent's time requirement.,high,"[""The profile topology has a temporal filter, but the intent requires grouping by period.""]",True,True,success,semantic,,Added a GROUP BY clause to match the intent's time requirement.,high,True,False,False,False,False,False,False,False,False,True,True,not_primary_cohort
booksql_072745,A_correct_executable,"As of in jan this year, how many invoices for Joseph Chandler remained unpaid?","select count(distinct transaction_id) from master_txn_table where customers = ""Joseph Chandler"" and transaction_type = 'invoice' and open_balance >0 and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date, 'start of year', '+1 month', '-1 day') ","SELECT COUNT(*) 
FROM master_txn_table 
WHERE Transaction_DATE BETWEEN '2023-01-01' AND '2023-01-31' 
  AND Customers = 'Joseph Chandler' 
  AND AR_paid = 'No';",SELECT COUNT(DISTINCT Transaction_ID) FROM master_txn_table WHERE Transaction_DATE BETWEEN '2023-01-01' AND '2023-01-31' AND Customers = 'Joseph Chandler' AND AR_paid = 'No';,1,1,1,1,[],1,1,1,1,[],True,True,False,financial_measure_error,The profile measures 'row_count' which is different from the intent's 'count' measure kind.,Consider using a distinct count or a count of invoices instead of a row count.,high,"[""COUNT(*) counts transaction lines, not necessarily distinct transactions or invoices.""]",True,True,success,semantic,,Changed COUNT(*) to COUNT(DISTINCT Transaction_ID) to count distinct invoices.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072753,B_wrong_executable,How many Nursing and health did we sell to Margaret Terrell yesterday?,"select sum(quantity) from master_txn_table where customers = ""Margaret Terrell"" and product_service = 'Nursing and health' and transaction_type in ('invoice', 'sales receipt') and transaction_date BETWEEN date( current_date, ""-1 day"") AND date( current_date, ""-1 day"") ","SELECT COUNT(DISTINCT transaction_id) 
FROM master_txn_table 
WHERE transaction_date BETWEEN date('now','-1 day') AND date('now','-1 day') 
  AND Product_Service = 'Nursing and Health' 
  AND Customers = 'Margaret Terrell';","SELECT COUNT(DISTINCT transaction_id) 
FROM master_txn_table 
WHERE transaction_date BETWEEN date('now','-1 day') AND date('now','-1 day') 
  AND Product_Service = 'Nursing and Health' 
  AND Customers = 'Margaret Terrell';",0,,0,0,[],0,,0,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072766,A_correct_executable,What was the mean bill Kathy Phillips received from Christopher Kelly?,"select avg(credit) from master_txn_table where customers = ""Kathy Phillips"" and transaction_type = 'bill' and vendor = ""Christopher Kelly""","SELECT AVG(master_txn_table.Amount) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
JOIN employees ON master_txn_table.businessID = employees.businessID 
WHERE customers.customer_full_name = 'Kathy Phillips' 
AND employees.Employee_name = 'Christopher Kelly';","SELECT AVG(master_txn_table.Amount) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
JOIN employees ON master_txn_table.businessID = employees.businessID 
WHERE customers.customer_full_name = 'Kathy Phillips' 
AND employees.Employee_name = 'Christopher Kelly';",1,1,1,1,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has group_by: 'none', but the intent requires grouping by 'Kathy Phillips' and 'Christopher Kelly'.",Consider adding a GROUP BY clause to group the bills by 'Kathy Phillips' and 'Christopher Kelly'.,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072775,A_correct_executable,How many Carlos Martinez invoices are still oustanding?,"select count(distinct transaction_id) from master_txn_table where customers = ""Carlos Martinez"" and transaction_type = 'invoice' and open_balance>0","SELECT COUNT(*) 
FROM master_txn_table 
WHERE Customers = 'Carlos Martinez' AND AR_paid = 'No';",SELECT COUNT(*) FROM master_txn_table WHERE Customers = 'Carlos Martinez' AND AR_paid = 'No' AND Transaction_TYPE = 'Invoice';,1,1,1,1,[],1,1,1,1,[],True,True,False,financial_measure_error,The profile measures 'row_count' instead of 'count' of invoices.,"Verify if the 'row_count' measure correctly represents the count of invoices, considering the 'COUNT(*)' function counts transaction lines.",medium,"[""COUNT(*) counts transaction lines, not necessarily distinct transactions or invoices.""]",True,True,success,semantic,,Added a filter for Transaction_TYPE to ensure only invoices are counted.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072779,A_correct_executable,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"SELECT avg(quantity_per_transaction) FROM (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method  =  ""[payment_method]"" group by transaction_id) ","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'",1,,,0,[],1,,,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072780,A_correct_executable,Did we receive payment from Brandon Marshall partnership This quarter to date?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""Brandon Marshall"" and transaction_date >= strftime('%Y-%m-%d', strftime('%Y', 'now', '-1 year') || '-' || substr('00' || (((strftime('%m', 'now') - 1) / 3) * 3 + 1), -2, 2) || '-01') ","SELECT DISTINCT transaction_id, amount 
FROM master_txn_table 
WHERE Customers = 'Brandon Marshall partnership' 
  AND Transaction_DATE BETWEEN date('now', 'start of quarter') AND date('now');","SELECT DISTINCT transaction_id, amount 
FROM master_txn_table 
WHERE Customers = 'Brandon Marshall partnership' 
  AND Transaction_DATE BETWEEN date('now', 'start of quarter') AND date('now');",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072804,A_correct_executable,Compare sales by customer Last 7 days,"select customers, sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date BETWEEN date( current_date, ""-7 days"") AND date( current_date)  group by customers ","SELECT 
    customers.customer_name, 
    SUM(master_txn_table.Credit) AS Total_Sales
FROM 
    master_txn_table
JOIN 
    customers ON master_txn_table.Customers = customers.customer_name
WHERE 
    master_txn_table.Transaction_DATE BETWEEN date('now','-7 days') AND date('now')
GROUP BY 
    customers.customer_name
ORDER BY 
    Total_Sales DESC;","SELECT 
    customers.customer_name, 
    SUM(master_txn_table.Credit) AS Total_Sales
FROM 
    master_txn_table
JOIN 
    customers ON master_txn_table.Customers = customers.customer_name
WHERE 
    master_txn_table.Transaction_DATE BETWEEN date('now','-7 days') AND date('now')
GROUP BY 
    customers.customer_name
ORDER BY 
    Total_Sales DESC;",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072807,A_correct_executable,What was the min invoice value for Offering emerging market funds in This week?,"select min(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""Offering emerging market funds"") and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date) ","SELECT MIN(Credit) AS min_invoice_value
FROM master_txn_table
WHERE Product_Service = 'Offering emerging market funds'
  AND Transaction_DATE BETWEEN date('now', 'weekday 0', '-7 days') AND date('now', 'weekday 0');","SELECT MIN(Credit) AS min_invoice_value
FROM master_txn_table
WHERE Product_Service = 'Offering emerging market funds'
  AND Transaction_DATE BETWEEN date('now', 'weekday 0', '-7 days') AND date('now', 'weekday 0');",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072811,A_correct_executable,How many Michelle Patel invoices are still oustanding?,"select count(distinct transaction_id) from master_txn_table where customers = ""Michelle Patel"" and transaction_type = 'invoice' and open_balance>0","SELECT COUNT(*) 
FROM master_txn_table 
WHERE Customers = 'Michelle Patel' AND AR_paid = 'No';","SELECT COUNT(DISTINCT master_txn_table.Transaction_ID) 
FROM master_txn_table 
WHERE master_txn_table.Customers = 'Michelle Patel' AND master_txn_table.AR_paid = 'No';",1,1,1,1,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has group_by: 'none', but the intent requires grouping by 'invoices'.",Group the transaction lines by 'invoices' and then count the distinct groups.,high,"[""The profile topology has group_by: 'none', but the intent requires grouping by 'invoices'."", ""COUNT(*) counts transaction lines, not necessarily distinct transactions or invoices.""]",True,True,success,semantic,,Grouped transaction lines by 'invoices' using Transaction_ID.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072819,B_wrong_executable,What our monthly spend on Margaret Harvey,"select date(transaction_date, 'start of month'), sum(debit) from master_txn_table where vendor = ""Margaret Harvey"" group by date(transaction_date, 'start of month')","SELECT SUM(master_txn_table.Amount) AS Monthly_Spend
FROM master_txn_table
JOIN customers ON master_txn_table.Customers = customers.customer_name
WHERE customers.customer_full_name = 'Margaret Harvey'
AND master_txn_table.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now');","SELECT SUM(master_txn_table.Amount) AS Monthly_Spend
FROM master_txn_table
JOIN customers ON master_txn_table.Customers = customers.customer_name
WHERE customers.customer_full_name = 'Margaret Harvey'
AND master_txn_table.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now');",0,,0,0,[],0,,0,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072840,A_correct_executable,Compare sales by customer This month,"select customers, sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  group by customers ","SELECT 
    c.customer_name, 
    SUM(m.Credit) AS Total_Sales
FROM 
    master_txn_table m
JOIN 
    customers c ON m.Customers = c.customer_name
WHERE 
    m.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now')
GROUP BY 
    c.customer_name
ORDER BY 
    Total_Sales DESC;","SELECT 
    c.customer_name, 
    SUM(m.Credit) AS Total_Sales
FROM 
    master_txn_table m
JOIN 
    customers c ON m.Customers = c.customer_name
WHERE 
    m.Transaction_DATE BETWEEN date('now', 'start of month') AND date('now')
GROUP BY 
    c.customer_name
ORDER BY 
    Total_Sales DESC;",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072845,A_correct_executable,"As of YTD, how many invoices for Jacob Gross remained unpaid?","select count(distinct transaction_id) from master_txn_table where customers = ""Jacob Gross"" and transaction_type = 'invoice' and open_balance >0 and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)","SELECT COUNT(DISTINCT transaction_id) 
FROM master_txn_table 
WHERE Customers = 'Jacob Gross' 
  AND Transaction_TYPE = 'invoice' 
  AND AR_paid = 'false' 
  AND transaction_date BETWEEN date('now', 'start of year') AND date('now');","SELECT COUNT(DISTINCT transaction_id) FROM master_txn_table WHERE Customers = 'Jacob Gross' AND Transaction_TYPE = 'invoice' AND AR_paid = 'false' AND transaction_date BETWEEN date('start of year', 'now') AND date('now');",1,1,1,1,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has a temporal filter, but the intent requires grouping by period.",Consider adding a grouping by period to match the intent's time requirement.,high,"[""Literal 'false' is not an observed/mapped value for master_txn_table.AR_paid.""]",True,True,success,semantic,,Added 'start of year' to the start date of the transaction_date BETWEEN filter to match the intent's time requirement.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072852,A_correct_executable,How much did Tanya Mendoza spend on Job Materials in July during last year?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""Tanya Mendoza"" and instr(account,""Job Materials"") and strftime(""%m"", transaction_date) = '07' and strftime(""%Y"", transaction_date) = strftime('%Y', current_date) - 1 and account_type in ('Expense','Other Expense')","SELECT SUM(Credit) 
FROM master_txn_table 
JOIN employees ON master_txn_table.businessID = employees.businessID 
JOIN chart_of_accounts ON master_txn_table.businessID = chart_of_accounts.businessID 
WHERE employees.Employee_name = 'Tanya Mendoza' 
AND chart_of_accounts.Account_name = 'Job Materials' 
AND strftime('%Y-%m', master_txn_table.Transaction_DATE) = strftime('%Y-%m', date('now', '-1 year')) 
AND strftime('%Y-%m', master_txn_table.Transaction_DATE) = '2022-07';","SELECT SUM(Credit) 
FROM master_txn_table 
JOIN employees ON master_txn_table.businessID = employees.businessID 
JOIN chart_of_accounts ON master_txn_table.businessID = chart_of_accounts.businessID 
WHERE employees.Employee_name = 'Tanya Mendoza' 
AND chart_of_accounts.Account_name = 'Job Materials' 
AND strftime('%Y-%m', master_txn_table.Transaction_DATE) = strftime('%Y-%m', date('now', '-1 year')) 
AND strftime('%Y-%m', master_txn_table.Transaction_DATE) = '2022-07';",1,0,0,0,"[""posting_side_reversal""]",1,0,0,0,"[""posting_side_reversal""]",False,False,True,,,,high,[],False,False,skipped,,,,,False,True,False,False,False,False,False,False,False,False,False,verifier_miss
booksql_072854,B_wrong_executable,Did we receive payment from Christopher Weber partnership yesterday?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""Christopher Weber"" and transaction_date BETWEEN date( current_date, ""-1 day"") AND date( current_date, ""-1 day"") ","SELECT COUNT(DISTINCT transaction_id) 
FROM master_txn_table 
WHERE Customers = 'Christopher Weber partnership' 
  AND transaction_date BETWEEN date('now', '-1 day') AND date('now', '-1 day');","SELECT COUNT(*) FROM master_txn_table WHERE Customers = 'Christopher Weber partnership' AND transaction_date = date('now', '-1 day');",0,,0,0,[],0,,0,0,[],True,True,False,financial_measure_error,"The intent requires a boolean existence check regarding a payment received event, but the profile measures the count of distinct transaction IDs.",Check if the profile measures the count of distinct transaction IDs instead of a boolean existence check regarding a payment received event.,high,"[""The intent requires a boolean existence check regarding a payment received event, but the profile measures the count of distinct transaction IDs.""]",True,True,success,semantic,,Changed COUNT(DISTINCT transaction_id) to COUNT(*) and removed the date range filter.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072856,A_correct_executable,Number of invoices created for Ethical Hacking Training in Last 30 days?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""Ethical Hacking Training"") and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) ","SELECT COUNT(DISTINCT Transaction_ID) 
FROM master_txn_table 
WHERE Product_Service = 'Ethical Hacking Training' 
  AND Transaction_DATE BETWEEN date('now','-30 days') AND date('now');","SELECT COUNT(DISTINCT Transaction_ID) 
FROM master_txn_table 
WHERE Product_Service = 'Ethical Hacking Training' 
  AND Transaction_DATE BETWEEN date('now','-30 days') AND date('now');",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072862,A_correct_executable,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"SELECT avg(quantity_per_transaction) FROM (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method  =  ""[payment_method]"" group by transaction_id) ","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'",1,,,0,[],1,,,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072863,B_wrong_executable,How many Assessing product problems did we sell to Steven Reynolds in aug this year?,"select sum(quantity) from master_txn_table where customers = ""Steven Reynolds"" and product_service = 'Assessing product problems' and transaction_type in ('invoice', 'sales receipt') and transaction_date BETWEEN date(current_date, 'start of year', '+7 month') AND date(current_date, 'start of year', '+8 month', '-1 day') ","SELECT COUNT(DISTINCT master_txn_table.Transaction_ID) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
JOIN products ON master_txn_table.Product_Service = products.Product_Service 
WHERE master_txn_table.Transaction_DATE BETWEEN '2023-08-01' AND '2023-08-31' 
AND customers.customer_full_name = 'Steven Reynolds' 
AND products.Product_Service_type = 'Assessing product problems';","SELECT COUNT(DISTINCT master_txn_table.Transaction_ID) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
JOIN products ON master_txn_table.Product_Service = products.Product_Service 
WHERE master_txn_table.Transaction_DATE BETWEEN '2023-08-01' AND '2023-08-31' 
AND customers.customer_full_name = 'Steven Reynolds' 
AND products.Product_Service_type = 'Assessing product problems';",0,,0,0,[],0,,0,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072867,A_correct_executable,What was the max invoice value for Uncategorized Income in in q3 last year?,"select max(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""Uncategorized Income"") and transaction_date BETWEEN date(current_date, '-1 year', 'start of year', '+6 month') AND date(current_date, '-1 year', 'start of year', '+9 month', '-1 day') ","SELECT MAX(Credit) AS max_invoice_value
FROM master_txn_table
WHERE Account = 'Uncategorized Income' AND Transaction_DATE BETWEEN date('now','-1 year','start of quarter') AND date('now','-1 year','end of quarter');","SELECT MAX(Credit) AS max_invoice_value
FROM master_txn_table
WHERE Account = 'Uncategorized Income' AND Transaction_DATE BETWEEN date('now','-1 year','start of quarter') AND date('now','-1 year','end of quarter');",1,1,1,1,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has 'group_by: none', but the intent requires grouping by period.",Consider adding a group_by period to the query to match the intent's requirement.,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_072868,A_correct_executable,What acount had our biggest expense Last 30 days?,"select account, sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name  where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) group by account order by sum(debit) desc limit 1","SELECT Account, SUM(Amount) AS Total_Expense
FROM master_txn_table
WHERE Transaction_DATE BETWEEN date('now','-30 days') AND date('now')
GROUP BY Account
ORDER BY Total_Expense DESC
LIMIT 1;","SELECT Account, MAX(Amount) AS Total_Expense FROM master_txn_table WHERE Transaction_DATE BETWEEN date('now','-30 days') AND date('now') GROUP BY Account ORDER BY Total_Expense DESC LIMIT 1;",1,1,1,1,[],1,1,1,1,[],True,True,False,financial_measure_error,"The intent requires a measure kind of 'identifier' for the account, but the profile measures 'flow' with a unit of 'monetary' for the expense amount.","Consider using a measure kind of 'identifier' for the account, and a unit of 'monetary' for the expense amount, to match the intent's requirements.",low,"[""The intent requires a measure kind of 'identifier' for the account, but the profile measures 'flow' with a unit of 'monetary' for the expense amount.""]",True,True,success,semantic,,Changed SUM to MAX to match the intent's requirement for the measure kind of 'identifier' for the account.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
